ts_us,rss_kb,cpu_pct
1779299235853538,12344,0.0
1779299236303630,12344,8.3
1779299236746989,12412,8.3
1779299237362703,12508,30.0
1779299237810830,12464,50.0
1779299238130384,12724,50.0
1779299238453558,12620,0.0
1779299238770262,12620,0.0
1779299239087084,12620,0.0
1779299239400171,12620,0.0
1779299239711171,12620,0.0
1779299240025080,12620,0.0
1779299240341240,12620,0.0
1779299240655116,12620,0.0
1779299240967612,12620,0.0
1779299241280062,12620,0.0
1779299241596057,12620,0.0
1779299241909253,12620,0.0
1779299242221443,12620,0.0
1779299242533789,12620,0.0
1779299242846655,12620,0.0
1779299243159421,12620,0.0
1779299243474682,12620,0.0
1779299243789711,12620,0.0
1779299244105101,12620,0.0
1779299244420003,12620,0.0
1779299244732865,12620,0.0
1779299245045850,12620,0.0
1779299245359413,12620,0.0
1779299245680371,12620,0.0
1779299245992985,12620,0.0
1779299246305248,12620,0.0
1779299246619500,12620,0.0
1779299246934796,12620,0.0
1779299247250232,12620,0.0
1779299247562180,12620,0.0
1779299247876235,12620,0.0
1779299248188450,12620,0.0
1779299248502901,12552,0.0
1779299248816934,12552,0.0
1779299249134537,12552,0.0
1779299249450137,12552,0.0
1779299249764907,12552,0.0
1779299250079374,12552,0.0
1779299250395517,12552,0.0
1779299250709227,12552,0.0
1779299251022485,12552,0.0
1779299251333433,12552,0.0
1779299251647377,12552,0.0
1779299251965074,12552,0.0
1779299252279791,12552,0.0
1779299252592284,12552,0.0
1779299252905295,12552,0.0
1779299253219527,12552,0.0
1779299253532495,12552,0.0
1779299253846079,12552,0.0
1779299254163437,12552,0.0
1779299254476451,12552,0.0
1779299254794214,12552,0.0
1779299255107194,12552,0.0
1779299255423558,12552,0.0
1779299255737415,12552,0.0
1779299256048995,12552,0.0
1779299256364377,12552,0.0
1779299256677546,12552,0.0
1779299256992950,12552,0.0
1779299257306007,12552,0.0
1779299257618344,12552,0.0
1779299257930366,12552,0.0
1779299258243661,12552,0.0
1779299258556061,12552,0.0
1779299258868857,12552,0.0
1779299259184607,12552,0.0
1779299259499826,12552,0.0
1779299259812792,12552,0.0
1779299260127330,12552,0.0
1779299260443239,12552,0.0
1779299260756061,12552,0.0
1779299261070544,12552,0.0
1779299261383735,12552,0.0
1779299261697733,12552,0.0
1779299262010547,12552,0.0
1779299262322770,12552,0.0
1779299262634581,12552,0.0
1779299262951630,12552,0.0
1779299263263570,12552,0.0
1779299263576569,12552,0.0
1779299263888400,12552,0.0
1779299264203327,12552,0.0
1779299264518815,12552,0.0
1779299264830705,12552,0.0
1779299265143582,12552,0.0
1779299265455434,12552,0.0
1779299265771902,12552,0.0
1779299266085671,12552,0.0
1779299266401537,12552,0.0
1779299266717341,12552,0.0
1779299267030006,12552,0.0
1779299267343757,12552,0.0
1779299267656527,12552,0.0
1779299267974450,12552,0.0
1779299268287396,12552,0.0
1779299268602189,12552,0.0
1779299268917135,12552,0.0
1779299269231467,12552,0.0
1779299269545406,12552,0.0
1779299269860040,12552,0.0
1779299270176114,12552,0.0
1779299270487813,12552,0.0
1779299270805935,12552,0.0
1779299271120430,12552,0.0
1779299271436320,12552,0.0
1779299271751818,12552,0.0
1779299272063816,12552,0.0
1779299272377270,12552,0.0
1779299272690530,12552,0.0
1779299273005189,12552,0.0
1779299273316814,12552,0.0
1779299273629977,12552,0.0
1779299273941924,12552,0.0
1779299274259421,12552,0.0
1779299274572834,12552,0.0
1779299274886227,12552,0.0
1779299275199456,12552,0.0
1779299275510602,12552,0.0
1779299275826786,12552,0.0
1779299276138669,12552,0.0
1779299276450567,12552,0.0
1779299276762926,12552,0.0
1779299277075671,12552,0.0
1779299277390415,12552,0.0
1779299277702515,12552,0.0
1779299278015630,12552,0.0
1779299278329105,12552,0.0
1779299278640988,12552,0.0
1779299278956403,12552,0.0
1779299279270206,12552,0.0
1779299279583845,12552,0.0
